SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,September-24-2017,propertytype:Single Family Residential,USD625000,6,3.5,2826,9672,1999,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/10429-Eastwood-Ave-20901/home/11143207,MRIS,MC9927683,N,Y,"Saturday- Sep 16, 2017"
PAST SALE,September-22-2017,propertytype:Multi-Family (5+ Unit),USD950000,12,6.0,4424,5281,1938,NA,Sold,NA,NA,http://www.redfin.com/MD/Takoma-Park/7910-Long-Branch-Pkwy-20912/home/10949466,MRIS,MC9961744,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-28-2017,propertytype:Single Family Residential,USD542000,3,3.0,2327,6900,1940,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/9920-Rogart-Rd-20901/home/10985375,MRIS,MC10033840,N,Y,"Sunday- Sep 24, 2017"
PAST SALE,September-28-2017,propertytype:Townhouse,USD365000,3,2.5,1470,2100,1983,79,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/306-Crescendo-Way-20901/home/10586766,MRIS,MC10011163,N,Y,"Sunday- Sep 24, 2017"
PAST SALE,September-27-2017,propertytype:Single Family Residential,USD410000,4,2.5,1652,7576,1959,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/11401-Clara-St-20902/home/11049703,MRIS,MC9958480,N,Y,"Friday- Sep 22, 2017"
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD710710,4,2.0,2141,8307,1928,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/710-Wayne-Ave-20910/home/10967877,MRIS,MC10033904,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD356800,5,4.0,1939,7060,1956,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/707-University-Blvd-W-20901/home/11014861,MRIS,MC10033419,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-28-2017,propertytype:Single Family Residential,USD415000,3,2.5,1882,8951,1957,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/810-Kenbrook-Dr-20902/home/11049903,MRIS,MC10049844,N,Y,"Sunday- Sep 24, 2017"
PAST SALE,September-6-2017,propertytype:Single Family Residential,USD370000,3,2.0,1866,6300,1951,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/1616-Parham-Rd-20903/home/10561151,MRIS,MC9995213,N,Y,"Friday- Aug 11, 2017"
PAST SALE,September-15-2017,propertytype:Single Family Residential,USD377000,4,2.5,1428,12323,1960,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/1204-Devere-Dr-20903/home/10564826,MRIS,MC10021523,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,,propertytype:Single Family Residential,USD576500,NA,3.0,1118,8108,1961,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/10108-Kohler-Rd-20902/home/10990318,,,N,Y,NA
PAST SALE,,propertytype:Single Family Residential,USD495000,NA,3.0,1756,6608,1955,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/2703-Loma-St-20902/home/10983372,,,N,Y,NA
PAST SALE,September-25-2017,propertytype:Single Family Residential,USD595000,3,1.5,1512,5347,1941,NA,Sold,NA,NA,http://www.redfin.com/MD/Chevy-Chase/2714-East-West-Hwy-20815/home/10999373,MRIS,MC9967422,N,Y,"Monday- Sep 18, 2017"
PAST SALE,September-11-2017,propertytype:Townhouse,USD290000,5,2.5,1088,2929,1952,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/1004-Osage-St-20903/home/10993598,MRIS,MC10025312,N,Y,"Monday- Aug 21, 2017"
PAST SALE,,propertytype:Townhouse,USD275000,NA,1.5,1088,3291,1952,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/906-Navahoe-Dr-20903/home/10992412,,,N,Y,NA
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD490000,4,3.5,1826,7071,1968,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/702-Malibu-Dr-20901/home/11071215,MRIS,MC10001193,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-13-2017,propertytype:Single Family Residential,USD395000,4,3.5,2348,7063,1951,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/1503-Oakview-Dr-20903/home/10561013,MRIS,MC9859955,N,Y,"Friday- Aug 25, 2017"
PAST SALE,,propertytype:Single Family Residential,USD415000,NA,1.5,1376,6270,1950,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/1610-Oakview-Dr-20903/home/10561944,,,N,Y,NA
PAST SALE,,propertytype:Townhouse,USD445000,NA,3.5,2208,2002,2009,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/1761-Chiswick-Ct-20904/home/40017057,,,N,Y,NA
PAST SALE,September-6-2017,propertytype:Single Family Residential,USD467000,4,2.0,1449,6099,1950,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/512-Kerwin-Rd-20901/home/11014369,MRIS,MC9975188,N,Y,"Friday- Aug 11, 2017"
